start.time.managerWebpack,9580
start.time.previewWebpack,11000
start.time.managerRender,15713
start.time.previewRender,26384
start.time.storyRender,33943
build.time.build,80389
browse.time.managerRender,905
browse.time.previewRender,1600
browse.time.storyRender,1800
browse.size.total,26513
browse.size.manager.total,2313
browse.size.manager.main,5
browse.size.manager.runtime,4
browse.size.manager.vendors,2304
browse.size.manager.uiDll,0
browse.size.preview.total,779
browse.size.preview.main,389
browse.size.preview.runtime,0
browse.size.preview.vendors,389
browse.size.preview.docsDll,0
