install.time.total,0
install.size.total,0
start.time.managerWebpack,0
start.time.previewWebpack,1890
start.time.managerRender,6534
start.time.previewRender,54122
build.time.build,90073
browse.time.managerRender,1322
browse.time.previewRender,2839
browse.size.total,27193
browse.size.manager.total,2315
browse.size.manager.main,5
browse.size.manager.runtime,4
browse.size.manager.vendors,2306
browse.size.manager.uiDll,0
browse.size.preview.total,11131
browse.size.preview.main,5566
browse.size.preview.runtime,0
browse.size.preview.vendors,5566
browse.size.preview.docsDll,0
