install.time.total,0
install.size.total,0
start.time.managerWebpack,45000
start.time.previewWebpack,49000
start.time.managerRender,54578
start.time.previewRender,56842
build.time.build,67511
browse.time.managerRender,959
browse.time.previewRender,2434
browse.size.total,18717
browse.size.manager.total,2268
browse.size.manager.main,4
browse.size.manager.runtime,7
browse.size.manager.vendors,2257
browse.size.manager.uiDll,0
browse.size.preview.total,7636
browse.size.preview.main,4992
browse.size.preview.runtime,7
browse.size.preview.vendors,2637
browse.size.preview.docsDll,0
